2012/10/19 14:30 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻
3947,17:00～18:00,10/19,8:30

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
3470,17:00～18:00,10/19,8:30

DATE,TIME,当日実績(万kW),予測値（万kW)
2012/10/19,0:00,2619,0
2012/10/19,1:00,2490,0
2012/10/19,2:00,2448,0
2012/10/19,3:00,2441,0
2012/10/19,4:00,2442,0
2012/10/19,5:00,2500,0
2012/10/19,6:00,2632,0
2012/10/19,7:00,2778,0
2012/10/19,8:00,2972,0
2012/10/19,9:00,3178,0
2012/10/19,10:00,3215,0
2012/10/19,11:00,3239,0
2012/10/19,12:00,3061,0
2012/10/19,13:00,3223,0
2012/10/19,14:00,0,0
2012/10/19,15:00,0,0
2012/10/19,16:00,0,0
2012/10/19,17:00,0,0
2012/10/19,18:00,0,0
2012/10/19,19:00,0,0
2012/10/19,20:00,0,0
2012/10/19,21:00,0,0
2012/10/19,22:00,0,0
2012/10/19,23:00,0,0

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻
,,,

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
,,,

メッセージＮｏ,節電お願い文
,
,

DATE,TIME,当日実績（５分間隔値）(万kW)
2012/10/19,0:00,2708
2012/10/19,0:05,2699
2012/10/19,0:10,2676
2012/10/19,0:15,2652
2012/10/19,0:20,2634
2012/10/19,0:25,2628
2012/10/19,0:30,2612
2012/10/19,0:35,2586
2012/10/19,0:40,2582
2012/10/19,0:45,2560
2012/10/19,0:50,2551
2012/10/19,0:55,2535
2012/10/19,1:00,2526
2012/10/19,1:05,2524
2012/10/19,1:10,2506
2012/10/19,1:15,2508
2012/10/19,1:20,2491
2012/10/19,1:25,2491
2012/10/19,1:30,2471
2012/10/19,1:35,2472
2012/10/19,1:40,2485
2012/10/19,1:45,2481
2012/10/19,1:50,2474
2012/10/19,1:55,2452
2012/10/19,2:00,2452
2012/10/19,2:05,2453
2012/10/19,2:10,2457
2012/10/19,2:15,2455
2012/10/19,2:20,2445
2012/10/19,2:25,2457
2012/10/19,2:30,2422
2012/10/19,2:35,2446
2012/10/19,2:40,2459
2012/10/19,2:45,2450
2012/10/19,2:50,2445
2012/10/19,2:55,2429
2012/10/19,3:00,2432
2012/10/19,3:05,2449
2012/10/19,3:10,2446
2012/10/19,3:15,2439
2012/10/19,3:20,2454
2012/10/19,3:25,2445
2012/10/19,3:30,2441
2012/10/19,3:35,2437
2012/10/19,3:40,2444
2012/10/19,3:45,2439
2012/10/19,3:50,2434
2012/10/19,3:55,2436
2012/10/19,4:00,2428
2012/10/19,4:05,2438
2012/10/19,4:10,2447
2012/10/19,4:15,2451
2012/10/19,4:20,2444
2012/10/19,4:25,2428
2012/10/19,4:30,2434
2012/10/19,4:35,2437
2012/10/19,4:40,2442
2012/10/19,4:45,2449
2012/10/19,4:50,2452
2012/10/19,4:55,2454
2012/10/19,5:00,2458
2012/10/19,5:05,2472
2012/10/19,5:10,2495
2012/10/19,5:15,2508
2012/10/19,5:20,2504
2012/10/19,5:25,2502
2012/10/19,5:30,2491
2012/10/19,5:35,2513
2012/10/19,5:40,2509
2012/10/19,5:45,2521
2012/10/19,5:50,2503
2012/10/19,5:55,2526
2012/10/19,6:00,2536
2012/10/19,6:05,2601
2012/10/19,6:10,2596
2012/10/19,6:15,2618
2012/10/19,6:20,2612
2012/10/19,6:25,2621
2012/10/19,6:30,2637
2012/10/19,6:35,2646
2012/10/19,6:40,2668
2012/10/19,6:45,2660
2012/10/19,6:50,2686
2012/10/19,6:55,2706
2012/10/19,7:00,2705
2012/10/19,7:05,2749
2012/10/19,7:10,2757
2012/10/19,7:15,2777
2012/10/19,7:20,2755
2012/10/19,7:25,2763
2012/10/19,7:30,2780
2012/10/19,7:35,2810
2012/10/19,7:40,2812
2012/10/19,7:45,2804
2012/10/19,7:50,2798
2012/10/19,7:55,2829
2012/10/19,8:00,2834
2012/10/19,8:05,2861
2012/10/19,8:10,2889
2012/10/19,8:15,2912
2012/10/19,8:20,2935
2012/10/19,8:25,2955
2012/10/19,8:30,2979
2012/10/19,8:35,3040
2012/10/19,8:40,3051
2012/10/19,8:45,3057
2012/10/19,8:50,3069
2012/10/19,8:55,3079
2012/10/19,9:00,3091
2012/10/19,9:05,3138
2012/10/19,9:10,3181
2012/10/19,9:15,3163
2012/10/19,9:20,3179
2012/10/19,9:25,3183
2012/10/19,9:30,3190
2012/10/19,9:35,3195
2012/10/19,9:40,3209
2012/10/19,9:45,3202
